CaseNumber,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,PRSM,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Loan.Type,Loan.Size.Class,FICO,Years.In.Business,Num.of.Credit.Lines,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,State,ISO.Name
323710178,4659,13200,15840,0.5883,12.5,2032.8,12300,16033.75,O,S2,545,8,9,4,3,2,LLC,0,0,17,Construction-Special Trade Contractors,34481,148600,47258,OH,Credit Divas
276512971,53972,156900,194556,0.5548,12.5,23221.2,103214.34,103214.333,O,S4,536,5,25,10,11,3,LLC,1,1,56,Apparel and Accessory Stores,29582,134600,57355,FL,Credit Divas
61217862,4851,10200,11730,0.8271,12.5,795.6,6764.94,6765.33333,O,S2,569,5,10,1,6,0,LLC,0,1,59,Miscellaneous Retail Stores,7675,219400,39255,TN,Credit Divas
95918617,1647,5000,6200,0.5313,12.5,1110,3847.6,3848,O,S1,446,14,21,7,6,4,S-Corp,2,0,75,Auto Repair Services and Parking,12405,84000,33712,TN,Credit Divas
266819427,5478,12800,15232,0.7193,12.5,1413.12,19225.32,20682,R,S2,481,3,15,4,21,22,LLC,0,0,59,Miscellaneous Retail Stores,28656,104500,32517,KY,Credit Divas
32718237,11416,21900,26827.5,0.8511,12.5,2222.86,14096.16,21502.25,O,S3,563,4,24,11,4,2,LLC,2,0,56,Apparel and Accessory Stores,3744,255000,22875,GA,Loan Masters
16913781,6489,18000,21150,0.6136,12.5,486,29516,31526,R,S2,452,8,27,14,4,2,LLC,4,1,50,Wholesale Trade-Durable Goods,1262,61300,30625,WV,Loan Masters
129914905,8249,17200,22016,0.7494,12.5,3890.64,11100.2,11100.25,O,S2,492,10,15,2,5,7,S-Corp,0,0,54,Food Stores,16153,126700,51736,MN,Loan Masters
165715091,14164,31000,36735,0.7711,12.5,4034.66,26105.94,43441.5842,O,S3,656,3,15,9,0,2,LLC,1,6,56,Apparel and Accessory Stores,19361,192100,41180,FL,Loan Masters
168210632,3036,6000,7170,0.8469,12.5,120,9833.6,2188,R,S1,634,5,17,9,1,3,S-Corp,0,0,58,Eating and Drinking Places,19700,99300,34087,TN,Loan Masters
379010425,23422,38000,44650,1.0491,12.5,760,36791.06,33868.8,R,S3,580,2,17,9,2,5,LLC,1,8,7,Agricultural Services,42597,129500,55016,PA,Loan Masters
116513573,8767,16100,18917.5,0.9269,12.5,1521.46,15593.82,7400.27218,O,S2,629,11,19,14,2,1,LLC,1,0,58,Eating and Drinking Places,14672,72700,29870,PA,Loan Masters
84515676,8553,15000,17375,0.9845,7.5,1379.22,19204.18,19204.2857,O,S2,658,8,33,22,0,4,LLC,0,0,58,Eating and Drinking Places,10979,74000,39021,AR,Loan Masters
273019722,2628,7600,9424,0.5577,12.5,1124.8,5077.92,5077.66667,O,S1,625,4,7,3,3,1,S-Corp,0,0,57,Home Furniture and Furnishings Stores,29252,52100,25019,FL,Credit Divas
